ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
12186,0.0,-10.645311,-17.459343,-21.946112,-27.163109,-30.915863,-29.932295,-23.624271,-26.478859,-29.590359,-27.06971,-35.163193,-35.163193,-35.163193,-44.709633,-57.74385,-65.7681,-63.67244
12187,0.0,-10.663454,-17.4622,-21.659336,-26.66793,-30.490845,-29.94417,-23.743477,-26.698895,-30.043282,-26.94072,-35.522934,-49.228462,-36.78574,-46.09749,-57.57975,-65.74542,-64.1839
12188,0.0,-10.634075,-17.478315,-21.662466,-26.565304,-30.493574,-30.127708,-24.024454,-26.987019,-30.18264,-27.185396,-35.8397,-49.470604,-36.962986,-46.32335,-57.457905,-65.81659,-64.40481
12189,0.0,-10.538911,-17.492607,-21.72204,-26.572235,-30.531654,-30.014929,-24.1603,-27.096716,-30.085915,-27.09667,-35.937088,-49.50991,-36.961353,-46.3462,-57.178566,-65.74645,-64.44176
12190,0.0,-10.1273,-17.355831,-21.766691,-26.71652,-30.434843,-29.003021,-24.252192,-27.08116,-28.607462,-24.539625,-35.758224,-49.43255,-36.973644,-45.93424,-56.324703,-65.579216,-64.29816
12191,0.0,-9.363544,-17.315939,-22.022825,-25.54545,-29.23552,-29.005926,-20.162395,-24.155872,-27.470364,-24.64917,-34.539886,-48.094006,-36.365227,-45.299263,-58.22027,-64.26482,-60.15165
12192,0.0,-9.192432,-17.339355,-21.992077,-25.636257,-29.23669,-28.618074,-20.185612,-23.937761,-27.230913,-24.616373,-34.572926,-48.24744,-36.531967,-45.075912,-57.843533,-63.97454,-59.8724
12193,0.0,-8.958514,-17.353926,-21.900448,-25.724226,-29.193815,-28.142015,-20.25778,-23.88642,-27.29219,-24.83302,-34.78992,-48.676674,-36.968178,-45.109383,-57.77958,-64.039986,-59.948166
12194,0.0,-8.704031,-17.406485,-21.822649,-25.877684,-29.156694,-27.788342,-20.34622,-23.684725,-27.115784,-24.762634,-34.657417,-34.657417,-34.657417,-42.372456,-54.906895,-61.14809,-57.190258
12195,0.0,-8.926232,-18.0305,-22.27472,-26.821404,-29.972717,-29.361637,-23.719826,-26.89512,-28.018787,-24.415173,-35.29584,-24.793806,-37.74842,-46.5415,-56.588734,-65.2454,-62.67941
12196,0.0,-10.248513,-13.610284,-21.33776,-23.084324,-30.786242,-29.221886,-24.243559,-27.851671,-29.167585,-25.25671,-38.674053,-50.498924,-39.622185,-44.89606,-57.56522,-64.037346,-57.856297
12197,0.0,-10.806873,-14.075774,-20.640154,-25.555498,-31.63117,-26.94796,-21.057661,-26.020771,-26.020771,-26.020771,-26.020771,-37.25121,-24.82058,-31.542515,-42.31853,-52.106365,-42.84206
12198,0.0,-12.35337,-15.28588,-21.077003,-25.56572,-31.44074,-29.887384,-23.240072,-28.683197,-28.683197,-28.683197,-28.683197,-39.47116,-27.412563,-34.330433,-44.98988,-54.147057,-44.56227
12199,0.0,-11.917783,-13.464176,-21.366396,-23.361858,-30.676214,-31.576235,-24.051332,-28.24173,-28.24173,-28.24173,-28.24173,-38.628185,-25.542347,-31.893446,-42.212,-50.152756,-45.06226
12200,0.0,-10.843298,-11.913605,-20.015282,-21.613781,-27.868736,-28.26118,-22.635914,-27.251661,-27.251661,-27.251661,-27.251661,-37.73706,-26.049093,-31.783518,-43.29295,-51.94035,-47.742527
12201,0.0,-12.082133,-12.783511,-18.92671,-19.166424,-27.644737,-28.664593,-18.913506,-27.338722,-27.338722,-27.338722,-27.338722,-38.353725,-26.187523,-38.335995,-44.18269,-45.83865,-45.40315
12202,0.0,-10.282676,-14.920449,-16.044271,-20.395325,-26.141962,-26.626684,-18.778822,-19.208778,-32.17782,-44.354958,-56.18766,-56.18766,-56.18766,-64.6153,-76.16517,-79.64668,-82.327576
12203,0.0,-10.166642,-15.080006,-19.533634,-24.633339,-28.24344,-29.180656,-22.529741,-27.601486,-25.93322,-30.000444,-19.907541,-21.465757,-14.447391,-21.52589,-33.97879,-36.88556,-29.86382
12204,0.0,13.073436,9.771429,6.018827,-1.7432716,10.948158,8.051863,19.332376,16.83675,16.83675,16.83675,16.83675,8.125572,19.92785,11.220653,0.9879849,-6.9591827,-5.6593375
