ps_id,lon,lat,x_radar,y_radar,iy,ix,velocity_mm_yr,rmse_mm,psf,corr_median,valid_pair_count,first_date,last_date,displacement_first_mm,displacement_last_mm,displacement_delta_mm,corr_mean
127,-44.07992505809633,-20.06474602503792,19059.5,1253.5,49,1436,14.983533,0.15399379,0.9012773,0.6149794,21,2018-07-09,2019-01-29,0.0,9.151859,9.151859,0.62330216
128,,,19087.5,1253.5,49,1464,23.581247,0.101058304,0.9030357,0.63056725,26,2018-07-09,2019-01-29,0.0,11.223507,11.223507,0.61264986
129,-44.06410204533295,-20.06868251511689,18522.5,1254.5,50,899,-2.701578,0.074652754,1.1120745,0.98981786,26,2018-07-09,2019-01-29,0.0,3.839601,3.839601,0.87538964
130,-44.06431108920076,-20.06868251511689,18527.5,1254.5,50,904,73.35086,0.03786382,1.0738498,0.8982389,26,2018-07-09,2019-01-29,0.0,49.74013,49.74013,0.8202861
131,,,18529.5,1254.5,50,906,74.74958,0.03066958,1.0834872,0.87226343,26,2018-07-09,2019-01-29,0.0,50.17725,50.17725,0.81410474
132,-44.0647452572339,-20.068551298780925,18536.5,1254.5,50,913,-48.081215,0.021714687,1.0159134,1.0,28,2018-07-09,2019-01-29,0.0,-20.318474,-20.318474,0.9552718
133,-44.06479349812648,-20.068551298780925,18537.5,1254.5,50,914,-48.264034,0.016513517,0.92520493,1.0,28,2018-07-09,2019-01-29,0.0,-20.595407,-20.595407,0.9531416
134,-44.06488997991161,-20.068551298780925,18539.5,1254.5,50,916,-48.227333,0.015241017,1.0711815,0.9441619,28,2018-07-09,2019-01-29,0.0,-21.019838,-21.019838,0.8902717
135,-44.064970381399235,-20.06842008244496,18542.5,1254.5,50,919,-38.044228,0.08363837,1.0020144,0.7656009,27,2018-07-09,2019-01-29,0.0,-25.777363,-25.777363,0.74434865
136,-44.068475886259414,-20.067632784429165,18680.5,1254.5,50,1057,-75.08528,0.101547986,1.0662242,0.5419296,21,2018-07-09,2019-01-29,0.0,-47.184956,-47.184956,0.5130825
137,-44.06942462381332,-20.067370351757233,18720.5,1254.5,50,1097,38.182,0.14844662,0.96676236,0.56469494,20,2018-07-09,2019-01-29,0.0,17.022398,17.022398,0.5322243
138,-44.07037336136722,-20.067107919085302,18753.5,1254.5,50,1130,26.378502,0.056758206,1.0844675,0.8011421,26,2018-07-09,2019-01-29,0.0,13.357556,13.357556,0.7560193
139,-44.074425596343204,-20.066189404733542,18893.5,1254.5,50,1270,19.148365,0.105941504,0.9033782,0.55626756,19,2018-07-09,2019-01-29,0.0,5.284021,5.284021,0.5176672
140,-44.07658035621139,-20.06566453938968,18960.5,1254.5,50,1337,45.93993,0.10506235,0.9039816,0.5469338,23,2018-07-09,2019-01-29,0.0,18.268826,18.268826,0.542216
141,,,18493.5,1255.5,51,870,9.353606,0.11961164,1.0335352,0.5294076,26,2018-07-09,2019-01-29,0.0,14.604006,14.604006,0.5484115
142,-44.06479349812648,-20.06868251511689,18536.5,1255.5,51,913,-52.181156,0.02976893,1.1099479,1.0,28,2018-07-09,2019-01-29,0.0,-21.579582,-21.579582,0.9629008
143,-44.064841739019045,-20.06868251511689,18537.5,1255.5,51,914,-76.73758,0.021774694,1.01979,1.0,28,2018-07-09,2019-01-29,0.0,-35.047394,-35.047394,0.9670777
144,-44.06488997991161,-20.06868251511689,18538.5,1255.5,51,915,-60.169113,0.019101368,0.99199504,1.0,28,2018-07-09,2019-01-29,0.0,-35.113564,-35.113564,0.9743166
145,-44.06538846913485,-20.068551298780925,18554.5,1255.5,51,931,27.470385,0.13943897,1.0157498,0.6185999,23,2018-07-09,2019-01-29,0.0,6.50657,6.50657,0.6124261
